trade_date,classification,total_pnl,total_volume,avg_trade_size
2024-05-07,greed,883.537693,108717.58,6039.865555555556
2024-05-08,greed,1.56576,65973.57,5074.89
2024-05-09,greed,1147.595856,221966.12,7927.361428571428
2024-05-10,greed,2101.741695,156882.0,7131.0
2024-05-11,neutral,251.604742,63248.95,7027.661111111111
2024-05-12,greed,0.0,55179.56,2399.111304347826
2024-05-13,greed,2136.853859,193118.9,6897.103571428571
2024-05-14,greed,1150.5233050000002,145853.4,6341.452173913043
2024-05-15,greed,948.970582,234922.57,6525.626944444444
2024-05-16,greed,214.5898,162620.96,6022.998518518518
2024-05-18,greed,3522.3946610000003,126303.14,5052.1256
2024-05-19,greed,0.0,29998.09,3749.76125
2024-05-20,greed,-74.818442,38124.75,3812.475
2024-05-21,extreme greed,7289.397571999999,1100948.59,8807.588720000002
2024-05-22,extreme greed,0.0,44995.29,7499.215
2024-05-23,extreme greed,0.0,74049.01999999999,3702.4509999999996
2024-05-24,greed,821.949278,50811.899999999994,25405.949999999997
2024-05-25,extreme greed,0.0,25007.149999999998,12503.574999999999
2024-05-26,extreme greed,773.4582,50763.450000000004,5640.383333333334
2024-05-29,greed,0.0,30567.34,6113.468
2024-06-07,extreme greed,7329.223137999999,787058.83,11925.133787878787
2024-06-08,greed,0.0,45002.65,6428.95
2024-06-09,extreme greed,0.0,22410.22,1318.2482352941176
2024-06-10,greed,0.0,24000.3,6000.075
2024-06-11,greed,4269.550668,354471.46,3692.4110416666667
2024-06-12,greed,0.0,1520.97,41.1072972972973
2024-06-13,greed,6632.757115,132577.22,1678.1926582278481
2024-06-14,greed,10258.592609,139868.66,4511.892258064517
2024-06-15,greed,3369.958346,718350.25,9209.61858974359
2024-06-16,greed,0.0,25235.079999999998,2294.0981818181817
2024-06-17,greed,10599.502375,368380.12,9694.213684210526
2024-06-18,greed,282.57636,263314.79,10532.5916
2024-06-19,greed,4887.656944,417071.12,6837.231475409836
2024-06-20,greed,57478.456026,207990.8,5333.097435897435
2024-06-21,greed,773.5582039999999,176264.49,2203.306125
2024-06-22,neutral,756.876565,169594.27000000002,7066.427916666667
2024-06-23,greed,0.0,1792.12,358.424
2024-06-24,neutral,0.0,403002.8,13000.090322580645
2024-06-25,fear,4869.353105,103099.08,2104.062857142857
2024-06-26,neutral,4197.732182,365190.66000000003,5072.092500000001
2024-06-27,fear,0.0,130486.95,4349.565
2024-06-29,fear,6150.326145,280095.11,3734.6014666666665
2024-06-30,neutral,0.0,30520.69,2180.049285714286
2024-07-01,neutral,5065.839308,362670.14999999997,5666.721093749999
2024-07-02,neutral,2421.253116,33347.47,1852.6372222222224
2024-07-03,neutral,1118.387284,179600.66,9977.814444444444
2024-07-04,fear,0.0,430568.01,17222.720400000002
2024-07-05,fear,0.0,272289.89,8509.0590625
2024-07-06,fear,108.87217799999999,2490.17,103.75708333333334
2024-07-07,fear,61.428942,498.75,49.875
2024-07-08,fear,0.0,497.64,497.64
2024-07-09,fear,648.984412,2736.45,182.42999999999998
2024-07-10,fear,11977.734907,687900.21,12283.93232142857
2024-07-11,fear,1876.812082,169887.02,8941.422105263156
2024-07-12,fear,1412.314654,89582.97,4714.893157894737
2024-07-13,fear,2913.617837,139189.19,8187.599411764706
2024-07-14,fear,0.0,84001.13,12000.16142857143
2024-07-15,neutral,0.0,167993.85,7999.7071428571435
2024-07-16,greed,0.0,144000.57,6545.480454545454
2024-07-17,greed,0.0,174924.99,10932.811875
2024-07-18,greed,2569.979964,642356.11,12119.926603773585
2024-07-19,greed,2120.091364,146122.7,9132.66875
2024-07-20,greed,129.66130099999998,99879.67,11097.74111111111
2024-07-21,greed,0.0,43995.18,14665.06
2024-07-22,greed,2273.29301,225308.37,10728.97
2024-07-23,greed,88084.992348,269541.91,1166.848095238095
2024-07-24,greed,0.0,33971.340000000004,556.9072131147542
2024-07-25,greed,916.7382600000001,528555.31,6776.350128205129
2024-07-26,greed,2425.262989,402487.08999999997,9816.758292682925
2024-07-27,greed,6400.623656,900756.99,17322.249807692308
2024-07-28,greed,0.0,31999.690000000002,10666.563333333334
2024-07-29,greed,112.946925,300241.35,12510.05625
2024-07-30,greed,0.0,36006.47,6001.078333333334
2024-07-31,greed,0.0,40005.14,13335.046666666667
2024-08-01,neutral,0.0,179060.18,7785.225217391304
2024-08-02,greed,554.12049,366553.29,7636.526875
